id,source,source_url,preview
fresno_so_2016_001,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-s-office-and-toys-r-us-team-up-to-bring-holiday-cheer-to-children.html,"November 23, 2016 Publication date: 2016-11-23 Source: On Wednesday, November 23rd, five children from the Carrillo family took to the aisles of Toys “R” Us in Clovis to shop for gifts at the top of their wish lists. The"
fresno_so_2015_001,FRESNO SO,https://www.fresnosheriff.org/media-relations/local-students-build-backpacks-for-disadvantaged-children.html,"May 21, 2015 Publication date: 2015-05-21 Source: On Wednesday, Sheriff Margaret Mims met with members of Rural Route 4-H. The high school students from Riverdale, Caruthers, Easton and the Westside area presented the Sh"
fresno_so_2024_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/two-children-die-in-house-fire-despite-mother-s-frantic-efforts-to-save-them.html,"March 18, 2024 Publication date: 2024-03-18 Source: An eight year old boy and his seven year old sister died as a result of a house fire on Sunday morning. According to family members, both children had been diagnosed wi"
fresno_so_2018_001,FRESNO SO,https://www.fresnosheriff.org/media-relations/two-children-drown-during-separate-incidents.html,"June 25, 2018 Publication date: 2018-06-25 Source: Around 4:00 pm on Saturday, June 23rd, the Fresno County Sheriff’s Office received a call saying family members had pulled a three year old boy out of an in ground hot t"
fresno_so_2016_002,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-mims-takes-operation-santa-claus-to-valley-children-s-hospital.html,"December 13, 2016 Publication date: 2016-12-13 Source: On Tuesday, December 13th, Fresno County Sheriff Margaret Mims and her deputies brought some early Christmas cheer to patients at Valley Children’s Hospital. As part"
fresno_so_2021_002,FRESNO SO,https://www.fresnosheriff.org/media-relations/man-now-faces-restraining-order-violation-and-child-endangerment-charges-in-death-of-eight-year-old-girl.html,"November 18, 2021 Publication date: 2021-11-18 Source: Detectives with the Fresno County Sheriff’s Abuse Unit have added additional charges to the arrest record of 51 year old Juan Del Toro Ramirez. He now faces a felony"
fresno_so_2015_002,FRESNO SO,https://www.fresnosheriff.org/media-relations/deputies-teach-children-about-gun-safety.html,"May 26, 2015 Publication date: 2015-05-26 Source: The 10th annual May Day! May Day! Have a Safe and Healthy Summer event was bigger than ever this year. This fun and educational event held at Chukchansi Park taught 1st a"
fresno_so_2016_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/have-you-seen-these-runaway-children.html,"August 23, 2016 Publication date: 2016-08-23 Source: - The Fresno Police Department has found Carson Valentine, who is now safe. 8/23/16 - Detectives with the Fresno County Sheriff's Office are asking for the public's he"
fresno_so_2016_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/stolen-gun-and-drugs-found-in-vehicle-with-a-small-child-two-men-arrested.html,"September 28, 2016 Publication date: 2016-09-28 Source: Fresno County Sheriff’s deputies have booked Cochis Mancia, 38, of Fresno and Michael Swacker, 42, of Fresno into the Fresno County Jail. Mancia faces felony charge"
fresno_so_2019_001,FRESNO SO,https://www.fresnosheriff.org/media-relations/drunk-driver-tries-to-evade-deputy-with-child-on-lap.html,"February 09, 2019 Publication date: 2019-02-09 Source: A Fresno County Sheriff’s deputy has booked 27 year old Raquel Gonzalez of Fresno into the Fresno County Jail. She faces felony charges of child endangerment, evadin"
fresno_so_2015_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/ceremony-honors-abandoned-children.html,"November 12, 2015 Publication date: 2015-11-12 Source: On Saturday, November 14th at 10:00 am, Garden of Innocence - Fresno County will hold a burial service for eight babies: Jill Elise, Stella, Aurora, Isaac, Jeremiah,"
fresno_so_2014_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/fresno-county-sheriff-s-reading-posse-receives-financial-boost.html,"December 03, 2014 Publication date: 2014-12-03 Source: On Wednesday, Fresno County Federal Credit Union presented Sheriff Margaret Mims with a check for $2,300.00. FCFCU raised the funds with the intent of educating our "
fresno_so_2025_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/law-enforcement-continues-search-for-missing-mother-and-child.html,"July 23, 2025 Publication date: 2025-07-23 Source: year old Whisper Owen and her daughter, 8 month old Sandra McCarty, were last seen on Tuesday, July 15, 2025. They were traveling in a silver 2006 Chevrolet Trailblazer "
fresno_so_2015_006,FRESNO SO,https://www.fresnosheriff.org/media-relations/home-invasion-robbery-suspect-steals-money-from-a-child.html,"February 03, 2015 Publication date: 2015-02-03 Source: Detectives with the Fresno County Sheriff’s Office have identified the man responsible for a home invasion robbery and need help from the public finding him. The sus"
fresno_so_2025_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/celebration-of-life-service-for-former-sheriffs-sergeant-scott-moore.html,"February 07, 2025 Publication date: 2025-02-07 Source: Retired Deputy Sergeant Scott Moore passed away on February 3, 2025 after suffering an unexpected medical emergency. He was 60 years old. Scott is remembered as a lo"
fresno_so_2019_002,FRESNO SO,https://www.fresnosheriff.org/media-relations/boy-in-critical-condition-after-being-pulled-out-of-kings-river.html,"September 16, 2019 Publication date: 2019-09-16 Source: An eight year old boy is listed in critical condition at Valley Children’s Hospital after nearly drowning in a portion of the Kings River in Parlier. Around 4:30 pm"
fresno_so_2015_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/you-re-invited-to-kids-safety-day-at-millerton-lake.html,"July 14, 2015 Publication date: 2015-07-14 Source: California State Parks at Millerton Lake State Recreation Area will celebrate its inaugural Kids’ Safety Day Saturday, July 18, 2015, from 10 a.m. to 2 p.m. This event i"
fresno_so_2018_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/father-and-daughter-drown-in-san-joaquin-river.html,"June 04, 2018 Publication date: 2018-06-04 Source: On June 2, 2018, just before 5:30 pm, Fresno County Sheriff’s dispatchers received an emergency call saying a man and a young girl had been swept away in the San Joaquin"
fresno_so_2015_009,FRESNO SO,https://www.fresnosheriff.org/media-relations/deputy-coroner-kelly-matlock-receives-award.html,"May 27, 2015 Publication date: 2015-05-27 Source: The Optimist Club of Greater Fresno has presented its “Respect for Law” award to Fresno County Sheriff’s Deputy Coroner Kelly Matlock. She has been recognized for her out"
fresno_so_2013_002,FRESNO SO,https://www.fresnosheriff.org/media-relations/vehicle-stop-leads-to-arrest-of-two-on-child-neglect-charges.html,"October 02, 2013 Publication date: 2013-10-02 Source: The Fresno County Sheriff's Office today announced the arrest of two after deputies discovered them smoking marijuana while driving. Arrested were 23-year-old John Ba"
fresno_so_2014_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/operations-santa-claus-with-lpoa-and-sheriff.html,"December 16, 2014 Publication date: 2014-12-16 Source: Sheriff Margaret Mims launched Operation Santa Claus on Monday, distributing dozens of gifts to patients at Valley Children's Hospital. MEDIA ADVISORY: Local Student"
fresno_so_2013_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/media-advisory-local-students-to-prepare-12-000-books-donated-to-sheriff-s-reading-posse.html,"May 20, 2013 Publication date: 2013-05-20 Source: Fresno County Sheriff Margaret Mims is pleased to announce that 12,000 more donated books are being readied for deputies to hand out to local children. Next Monday, May 2"
fresno_so_2015_010,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-coroner-identifies-6-year-old-drowning-victim.html,"Sheriff – Coroner Identifies 6-Year-Old Drowning Victim June 09, 2015 Publication date: 2015-06-09 Source: The Fresno County Sheriff – Coroner Office has identified Freddy Lopez, 6, of Fresno as the boy who drowned Monda"
fresno_so_2017_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/big-brothers-big-sisters-partners-with-fresno-county-law-enforcement.html,"October 18, 2017 Publication date: 2017-10-18 Source: On October 18th, a ribbon cutting ceremony was held at Fresno City Hall to commemorate a new program called Bigs in Blue, which is a partnership between Big Brothers "
fresno_so_2024_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/former-fresno-county-sheriff-richard-pierce-passes-away.html,"August 21, 2024 Publication date: 2024-08-21 Source: On Wednesday, August 21, Richard Pierce, passed away peacefully with his family at his side. He was 80 years old. Pierce began his career as a deputy with the Fresno C"
fresno_so_2015_011,FRESNO SO,https://www.fresnosheriff.org/media-relations/methamphetamine-conversion-lab-bust.html,"December 24, 2015 Publication date: 2015-12-24 Source: Fresno County Sheriff’s deputies have booked Francisco Solis-Gonzalez, 27, of Fresno into the Fresno County Jail. He is facing felony charges of drug manufacturing a"
fresno_so_2016_007,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-margaret-mims-releases-details-about-accidental-shooting-of-deputy-sergeant-rod-lucas.html,"November 01, 2016 Publication date: 2016-11-01 Source: - Funeral services have been set for Fresno County Sheriff’s Sgt. Rod Lucas, who passed away on October 31, 2016. When: Wednesday, Nov. 9, 2016 at 10:00am Where: Peo"
